"name","brand","ean","price","grammage","category","sale","image"
"Einhorn Stempelset 12 Stück","NA","8714274071650","4.99","12 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7713753/43460998_digital-image.png"
"Vivess Office Register 1-10 DINA4","Vivess","4337256089548","1.99","10 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8456896/31627160_digital-image.png"
"Vivess Vokabelheft DIN A5 liniert 53 72 Blatt","Vivess","4015291006903","2.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/2854477/31072813_digital-image.png"
"Bic Stabfeuerzeug Mini","Bic","3086123655751","1.99","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8597045/35315600_digital-image.png"
"Vivess Klebestift 20g","Vivess","4388844180819","1.99","20g (1 kg = 99,50 €)","Haus & Freizeit","False","https://img.rewe-static.de/2385458/24482120_digital-image.png"
"Vivess Sekundenkleber 3g","Vivess","4388844122772","2.39","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/1937821/24482123_digital-image.png"
"Falken Ordner Wolkenmarmor schmal","Falken","4014481115012","2.79","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/8760401/44178026_digital-image.png"
"UHU Bastelkleber 90g","Uhu","4026700477351","3.49","90g (1 kg = 38,78 €)","Haus & Freizeit","False","https://img.rewe-static.de/5346002/22478173_digital-image.png"
"Rosen Lady in Pink 1 Bund","NA","4035684321352","6.49","1 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7002015/30567038_digital-image.png"
"Vivess Flummis 4 Stück","Vivess","4337256447812","2.99","4 Stück","Haus & Freizeit","False","https://img.rewe-static.de/7793865/39058530_digital-image.png"
